Omega_over_gamma,Delta_over_gamma,k,alpha_over_gamma,min_sigma_min_Mk_on_boundary,y_at_min_sigma,min_abs_det_Mk_on_boundary,y_at_min_abs_det,min_Re_Sigma_minus,min_Re_Sigma_plus
0.251,0.061,3,0.2044656547740561,0.0810119242481561,0.554,0.2344485145158966,0.532,0.021555218746540972,0.020905162185554955
0.251,0.062,3,0.20371765510168555,0.08170123197992545,0.554,0.2367430470411622,0.5315,0.021555843226586678,0.020895530270204344
0.251,0.063,3,0.20297581376243634,0.08238615667309676,0.554,0.23902828501000165,0.5315,0.02155647531651205,0.02088591695796636
0.251,0.064,3,0.20223995811378548,0.08306684027490302,0.554,0.24130425325338178,0.531,0.021557114215836403,0.02087632143908436
0.251,0.065,3,0.2015099260802038,0.08374341588236187,0.554,0.24357206585726582,0.5305,0.021557759173932024,0.020866742953652418
0.251,0.066,3,0.20078556523034874,0.08441600851823022,0.554,0.24583204194790081,0.53,0.02155840948564818,0.02085718078729774
0.251,0.067,3,0.20006673195423613,0.08508473582281893,0.554,0.24808448016079082,0.5295,0.021559064487410195,0.02084763426732953
0.251,0.068,3,0.19935329072766145,0.0857497086723841,0.554,0.2503287611688418,0.5295,0.021559723553732993,0.02083810275929498
0.251,0.069,3,0.19864511345297242,0.08641103173326417,0.554,0.2525659444403555,0.529,0.02156038609409735,0.020828585663891678
0.251,0.06999999999999999,3,0.19794207886686688,0.08706880395961793,0.554,0.2547964148063872,0.5285,0.02156105155014448,0.02081908241419287
0.251,0.071,3,0.19724407200717914,0.08772311904152331,0.554,0.2570204042249815,0.528,0.021561719393150686,0.020809592473148137
0.251,0.072,3,0.19655098373172616,0.08837406580927219,0.554,0.25923799850507273,0.528,0.02156238912174923,0.020800115331327272
0.251,0.073,3,0.1958627102832227,0.08902172859890259,0.554,0.26144875134776113,0.5275,0.021563060259870898,0.020790650504879285
0.251,0.074,3,0.19517915289505264,0.08966618758335303,0.554,0.2636536770907671,0.527,0.02156373235487845,0.020781197533682343
0.251,0.075,3,0.19450021743335705,0.09030751907306725,0.554,0.26585295985343493,0.5265,0.021564404975873468,0.020771755979663395
0.251,0.076,3,0.19382581407149613,0.09094579578935778,0.554,0.2680467741145198,0.526,0.021565077712156776,0.02076232542526913
0.251,0.077,3,0.19315585699340643,0.09158108711346469,0.554,0.2702352292304816,0.526,0.021565750171825975,0.020752905472072047
