Omega_over_gamma,Delta_over_gamma,gap_k1_over_gamma,gap_k2_over_gamma,gap_k3_over_gamma,gap_k4_over_gamma,winner_k_among_1_to_4
0.23625000000000002,0.0,0.16823241779286902,0.26801348614738196,0.2934464160100374,0.3243818005685311,1
0.23750000000000002,0.0,0.17193752502001958,0.2681981312193958,0.29387372443304505,0.3250699997145121,1
0.23875000000000002,0.0,0.17584855025018087,0.2683836109586024,0.2943025669643169,0.32575974150528897,1
0.24,0.0,0.18000000000000008,0.2685699230880278,0.2947329322191862,0.3264509963617269,1
0.24125,0.0,0.18443752979028333,0.26875706531738597,0.29516480876390805,0.32714373470357583,1
0.2425,0.0,0.18922377109428382,0.2689450353430738,0.2955981851161961,0.32783792695340486,1
0.24375,0.0,0.1944487848917778,0.2691338308481709,0.2960330497457615,0.3285335435405705,1
0.245,0.0,0.20025062814466985,0.2693234495024371,0.29646939107486703,0.32923055490518094,1
0.24625,0.0,0.20686141518315662,0.2695138889623112,0.2969071974788856,0.32992893150209607,1
0.2475,0.0,0.2147331600508357,0.26970514687091035,0.2973464572868752,0.33062864380491885,1
0.24875,0.0,0.22503126955570232,0.26989722085803053,0.2977871587821612,0.33132966231001815,1
0.25,0.0,0.24999999621620284,0.27009010854014537,0.2982292902029312,0.3320319575405455,1
0.25125000000000003,0.0,0.24999999999999967,0.27028380752040926,0.29867283974283276,0.3327355000504656,1
0.2525,0.0,0.25,0.27047831538865685,0.29911779555159135,0.33344026042859576,1
0.25375000000000003,0.0,0.2499999999999997,0.2706736297214058,0.29956414573563406,0.33414620930264455,1
0.255,0.0,0.24999999999999983,0.2708697480818598,0.30001187835871834,0.33485331734326,1
0.25625,0.0,0.24999999999999972,0.2710666680199102,0.3004609814425834,0.3355615552680711,1
0.2575,0.0,0.25000000000000017,0.27126438707214245,0.3009114429675972,0.3362708938457342,1
0.25875,0.0,0.25,0.2714629027618362,0.3013632508734241,0.3369813038999787,1
0.26,0.0,0.2500000000000002,0.2716622125989747,0.30181639305969943,0.3376927563136404,1
0.26125,0.0,0.24999999999999997,0.2718623140802463,0.3022708573867126,0.33840522203270296,1
0.2625,0.0,0.25,0.2720632046890522,0.30272663167610064,0.33911867207031754,1
0.26375,0.0,0.24999999999999978,0.272264881895514,0.30318370371155323,0.33983307751082314,1
0.265,0.0,0.25,0.2724673431564797,0.30364206123952986,0.34054840951375437,1
0.26625,0.0,0.24999999999999992,0.2726705859155304,0.3041016919699785,0.3412646393178329,1
0.2675,0.0,0.24999999999999975,0.2728746076029915,0.30456258357707144,0.3419817382449464,1
0.26875,0.0,0.2499999999999999,0.2730794056359395,0.3050247236999512,0.3426996777041167,1
0.27,0.0,0.25,0.2732849774182147,0.3054880999434808,0.34341842919544274,1
0.27125,0.0,0.25,0.2734913203404258,0.3059526998790074,0.34413796431402566,1
0.2725,0.0,0.24999999999999972,0.27369843177996883,0.30641851104513657,0.34485825475387477,1
0.27375,0.0,0.25,0.2739063091010321,0.30688552094851096,0.3455792723117967,1
