Omega_over_gamma,Delta_over_gamma,alpha_over_gamma,min_sigma_min_Mk_on_boundary,y_at_min_sigma,min_abs_det_Mk_on_boundary,y_at_min_abs_det
0.2601,0.08009999999999999,0.23104071545514523,0.06281652053933325,0.5812499999999999,0.19141221249081433,0.575
0.2601,0.0802,0.2308738370039467,0.06296468891369868,0.5812499999999999,0.1919240455538466,0.575
0.2601,0.0803,0.23070775701277663,0.06311219229812028,0.5812499999999999,0.19243392369494303,0.575
0.2601,0.0804,0.2305424645496743,0.06325903987945888,0.5812499999999999,0.19294187431983933,0.575
0.2601,0.0805,0.23037794892324265,0.06340524064250674,0.5812499999999999,0.1934479242343581,0.575
0.2601,0.08059999999999999,0.23021419967540335,0.06355080337607132,0.5812499999999999,0.19395209966240576,0.575
0.2601,0.0807,0.23005120657442008,0.06369573667883266,0.5812499999999999,0.19445442626330864,0.575
0.2601,0.0808,0.22988895960820183,0.0638400489649669,0.5812499999999999,0.194954929148447,0.575
0.2601,0.0809,0.2297274489778358,0.06398374846957551,0.5812499999999999,0.19545363289733167,0.575
0.2601,0.081,0.2295666650913868,0.06412684325389281,0.5812499999999999,0.19595056157300728,0.575
0.2601,0.08109999999999999,0.2294065985579015,0.06426934121031956,0.5812499999999999,0.1964457387369601,0.575
0.2601,0.0812,0.2292472401816492,0.06441125006725877,0.5812499999999999,0.19693918746343053,0.575
0.2601,0.0813,0.22908858095656573,0.06455257739378222,0.5812499999999999,0.1974309303532269,0.575
0.2601,0.0814,0.2289306120608954,0.06469333060412824,0.5812499999999999,0.19792098954704695,0.575
0.2601,0.0815,0.2287733248520296,0.06483351696203696,0.5812499999999999,0.1984093867383122,0.575
0.2601,0.08159999999999999,0.22861671086152682,0.06497314358493174,0.5812499999999999,0.19889614318555088,0.575
0.2601,0.0817,0.22846076179030678,0.06511221744795373,0.5812499999999999,0.1993812797243517,0.575
0.2601,0.0818,0.22830546950401387,0.06525074538785736,0.5812499999999999,0.1998648167788961,0.575
0.2601,0.0819,0.22815082602854336,0.0653887341067655,0.5812499999999999,0.20034677437308612,0.575
0.2601,0.08199999999999999,0.22799682354571627,0.06552619017580252,0.5812499999999999,0.20082717214130635,0.575
0.2601,0.08209999999999999,0.22784345438910997,0.06566312003859465,0.5812499999999999,0.2013060293387958,0.575
0.2601,0.0822,0.22769071104001987,0.06579953001466245,0.5812499999999999,0.20178336485169865,0.575
0.2601,0.0823,0.22753858612357214,0.0659354263026843,0.5812499999999999,0.20225919720673538,0.575
0.2601,0.0824,0.22738707240494677,0.0660708149836686,0.5812499999999999,0.2027335445806066,0.575
0.2601,0.08249999999999999,0.2272361627857447,0.06620570202400487,0.5812499999999999,0.20320642480903225,0.575
0.2601,0.08259999999999999,0.22708585030046546,0.06634009327842173,0.5812499999999999,0.20367785539552102,0.575
0.2601,0.0827,0.2269361281130983,0.06647399449284899,0.5812499999999999,0.20414785351985776,0.575
0.2601,0.0828,0.2267869895138273,0.06660741130718625,0.5812499999999999,0.20461643604630755,0.575
0.2601,0.0829,0.22663842791584748,0.06674034925797574,0.5812499999999999,0.20508361953154136,0.575
0.2601,0.08299999999999999,0.22649043685227416,0.06687281378099814,0.5812499999999999,0.20554942023233516,0.575
