winner_side,Omega_center,Delta_center,alpha_center,y_center,sigma_center,worst_sigma,max_diff,sigma_minus_diff,passed,box_status
2,0.26624999999999993,0.08405,0.2811760069118031,0.5994999999999999,0.02287602681347768,0.022860703138959354,0.0009788863865756328,0.021897140426902044,True,certified_box
2,0.26624999999999993,0.08415,0.2811964767753223,0.5994999999999999,0.022867268608425258,0.022851909952977395,0.0009788869673606974,0.02188838164106456,True,certified_box
2,0.26624999999999993,0.08425,0.28121697193433604,0.5994999999999999,0.02285850073255875,0.02284310704225024,0.0009788875487294632,0.021879613183829288,True,certified_box
2,0.26624999999999993,0.08435000000000001,0.28123749239157686,0.5994999999999999,0.022849723190624584,0.022834294411445532,0.0009788881306828565,0.021870835059941727,True,certified_box
2,0.26624999999999993,0.08445000000000001,0.2812580381497744,0.5994999999999999,0.022840935987391692,0.022825472065251092,0.000978888713221926,0.021862047274169766,True,certified_box
2,0.26624999999999993,0.08455000000000001,0.28127860921165937,0.5994999999999999,0.02283213912764763,0.02281664000837404,0.0009788892963472663,0.021853249831300364,True,certified_box
2,0.26624999999999993,0.08465000000000002,0.2812992055799583,0.5994999999999999,0.02282333261620288,0.02280779824554658,0.0009788898800599359,0.021844442736142944,True,certified_box
2,0.26624999999999993,0.08475000000000002,0.28131982725739796,0.5994999999999999,0.022814516457888526,0.022798946781516487,0.0009788904643609113,0.021835625993527615,True,certified_box
2,0.26624999999999993,0.08485000000000002,0.28134047424670433,0.5994999999999999,0.022805690657555795,0.022790085621056135,0.0009788910492507686,0.021826799608305025,True,certified_box
2,0.26624999999999993,0.08495000000000003,0.28136114655059885,0.5994999999999999,0.022796855220079397,0.022781214768957753,0.0009788916347306506,0.021817963585348748,True,certified_box
2,0.26624999999999993,0.08505000000000003,0.28138184417180445,0.5994999999999999,0.022788010150353588,0.022772320956878533,0.0009788922208014673,0.021809117929552122,True,certified_box
2,0.26624999999999993,0.08515000000000003,0.2814025671130417,0.5994999999999999,0.022779155453294137,0.022763411476000483,0.0009788928074639346,0.021800262645830203,True,certified_box
2,0.26624999999999993,0.08525000000000003,,,,,,,False,crosses_boundary
