Omega_over_gamma,Delta_over_gamma,k,alpha_over_gamma,min_sigma_min_Mk_on_boundary,y_at_min_sigma,min_abs_det_Mk_on_boundary,y_at_min_abs_det
0.25,0.22000000000000003,11,0.12379753095274437,0.3856514282781967,2.25,26.60803904416012,0.0
0.25,0.22000000000000003,12,0.12379753095274437,0.40907049949683144,2.475,37.04067059543873,0.0
0.25,0.22999999999999998,3,0.12043964185884247,0.17114723313657795,0.55,0.5383524965290752,0.0
0.25,0.22999999999999998,4,0.12043964185884247,0.19644471103114441,0.75,1.1243115918333857,0.0
0.25,0.22999999999999998,5,0.12043964185884247,0.22454421709162395,0.9500000000000001,2.0597229503462584,0.0
0.25,0.22999999999999998,6,0.12043964185884247,0.25415184343933944,1.1500000000000001,3.4935847210171773,0.0
0.25,0.22999999999999998,7,0.12043964185884247,0.2834378380884041,1.375,5.617955933635568,0.0
0.25,0.22999999999999998,8,0.12043964185884247,0.31209079489136277,1.5750000000000002,8.674669847694092,0.0
0.25,0.22999999999999998,9,0.12043964185884247,0.339162714288423,1.8,12.96276888936119,0.0
0.25,0.22999999999999998,10,0.12043964185884247,0.36494614536792025,2.025,18.846513453196646,0.0
0.25,0.22999999999999998,11,0.12043964185884247,0.3894853167663359,2.25,26.76381741770685,0.0
0.25,0.22999999999999998,12,0.12043964185884247,0.41292783103491915,2.475,37.23496938987521,0.0
0.25,0.24,3,0.1172015802246232,0.17557149548444004,0.55,0.5468438657773339,0.0
0.25,0.24,4,0.1172015802246232,0.20047080996096406,0.75,1.1400190272908861,0.0
0.25,0.24,5,0.1172015802246232,0.22831297161544853,0.9500000000000001,2.084964153552056,0.0
0.25,0.24,6,0.1172015802246232,0.25780033148808223,1.1500000000000001,3.530998521431476,0.0
0.25,0.24,7,0.1172015802246232,0.2870729049745707,1.375,5.670549050029914,0.0
0.25,0.24,8,0.1172015802246232,0.31572861618610354,1.5750000000000002,8.745858481198603,0.0
0.25,0.24,9,0.1172015802246232,0.3428471572186526,1.8,13.05641716282293,0.0
0.25,0.24,10,0.1172015802246232,0.3686731317151135,2.025,18.966971356377723,0.0
0.25,0.24,11,0.1172015802246232,0.39324575311812615,2.25,26.915961310821917,0.0
0.25,0.24,12,0.1172015802246232,0.41671273941041537,2.475,37.42424822430712,0.0
0.25,0.25,3,0.11407774682698077,0.17995257827422056,0.55,0.5552909000698989,0.0
0.25,0.25,4,0.11407774682698077,0.20444026061347684,0.75,1.1556206868829262,0.0
0.25,0.25,5,0.11407774682698077,0.23201356650292526,0.9500000000000001,2.1099900566863927,0.0
0.25,0.25,6,0.11407774682698077,0.26137529488579325,1.1500000000000001,3.5680172475115732,0.0
0.25,0.25,7,0.11407774682698077,0.29063254711779496,1.375,5.722470205896397,0.0
0.25,0.25,8,0.11407774682698077,0.31929222116817485,1.5750000000000002,8.815969559565616,0.0
0.25,0.25,9,0.11407774682698077,0.3464590440142739,1.8,13.14841727185043,0.0
0.25,0.25,10,0.11407774682698077,0.37232936339727507,2.025,19.08500456230797,0.0
0.25,0.25,11,0.11407774682698077,0.3969369303783678,2.25,27.064652740867494,0.0
0.25,0.25,12,0.11407774682698077,0.4204294843147618,2.475,37.60874618825955,0.0
0.25,0.26,3,0.11106291116005085,0.18429415914185238,0.55,0.5636994429392003,0.0
0.25,0.26,4,0.11106291116005085,0.20835722909590823,0.75,1.171127998748371,0.0
0.25,0.26,5,0.11106291116005085,0.23565000891023627,0.9500000000000001,2.134820201336109,0.0
0.25,0.26,6,0.11106291116005085,0.2648805291884725,1.1500000000000001,3.604671830015246,0.0
0.25,0.26,7,0.11106291116005085,0.2941204642082641,1.375,5.773765883211547,0.0
0.25,0.26,8,0.11106291116005085,0.32278528419357994,1.5750000000000002,8.885070296862102,0.0
0.25,0.26,9,0.11106291116005085,0.35000210379091445,1.8,13.238863486198927,0.0
0.25,0.26,10,0.11106291116005085,0.375918644881596,2.025,19.200741976791477,0.0
0.25,0.26,11,0.11106291116005085,0.40056272838185064,2.25,27.210064190367856,0.0
0.25,0.26,12,0.11106291116005085,0.4240820112341787,2.475,37.78868973524358,0.0
